Actual RUL,Predicted RUL
222,199.358
221,203.25
220,202.032
219,198.63
218,153.908
217,198.33
216,147.834
215,197.672
214,192.622
213,197.936
212,192.568
211,191.476
210,189.456
209,175.27
208,181.756
207,192.714
206,193.114
205,196.334
204,180.992
203,174.836
202,200.442
201,180.794
200,187.342
199,182.962
198,185.756
197,189.912
196,177.67
195,189.99
194,190.084
193,169.642
192,178.558
191,181.032
190,175.414
189,173.388
188,160.622
187,168.318
186,178.566
185,171.938
184,167.794
183,177.672
182,154.798
181,179.894
180,179.14
179,164.9
178,171.23
177,169.77
176,141.202
175,155.812
174,160.764
173,155.886
172,161.23
171,164.088
170,146.948
169,130.84
168,148.722
167,163.064
166,157.646
165,149.796
164,156.094
163,158.902
162,154.05
161,155.03
160,160.854
159,152.518
158,152.048
157,152.304
156,159.828
155,154.014
154,153.36
153,154.098
152,146.712
151,148.216
150,147.758
149,146.266
148,135.104
147,139.386
146,138.314
145,142.694
144,142.194
143,147.662
142,144.326
141,145.01
140,140.728
139,140.412
138,143.916
137,147.226
136,182.346
135,145.398
134,135.626
133,140.11
132,129.094
131,130.234
130,165.422
129,130.53
128,139.016
127,133.46
126,106.39
125,132.892
124,126.722
123,141.004
122,126.018
121,118.334
120,123.53
119,120.584
118,121.63
117,122.97
116,122.426
115,114.534
114,115.604
113,115.208
112,111.504
111,120.312
110,108.88
109,111.196
108,110.808
107,107.434
106,106.68
105,113.456
104,114.646
103,102.568
102,109.32
101,107.076
100,103.388
99,108.544
98,104.938
97,100.358
96,103.312
95,121.338
94,133.24
93,99.652
92,110.276
91,100.618
90,98.602
89,109.096
88,105.986
87,94.772
86,98.706
85,100.916
84,85.0
83,111.878
82,97.908
81,85.36
80,88.486
79,90.894
78,100.068
77,86.572
76,79.764
75,84.918
74,77.304
73,78.672
72,80.124
71,80.022
70,81.096
69,72.7
68,75.188
67,68.872
66,71.984
65,83.744
64,64.448
63,65.036
62,66.43
61,77.494
60,69.462
59,69.142
58,66.59
57,70.478
56,60.14
55,58.03
54,54.634
53,52.996
52,52.348
51,52.826
50,51.318
49,48.418
48,50.974
47,54.588
46,50.944
45,53.718
44,48.908
43,45.602
42,45.16
41,43.41
40,47.444
39,42.884
38,44.324
37,41.056
36,50.894
35,35.834
34,34.5
33,32.83
32,32.47
31,31.638
30,31.426
29,30.778
28,30.194
27,31.144
26,40.81
25,26.094
24,29.842
23,25.524
22,23.474
21,24.604
20,20.408
19,19.362
18,17.512
17,18.264
16,20.0
15,22.194
14,24.08
13,28.4
12,20.28
11,20.764
10,14.374
9,11.586
8,10.062
7,8.65
6,8.128
5,10.19
4,4.316
3,3.774
2,3.586
1,3.866
0,14.422
163,176.07
162,173.132
161,165.078
160,162.864
159,174.978
158,169.416
157,172.058
156,165.69
155,166.794
154,162.226
153,174.56
152,177.242
151,164.368
150,162.3
149,162.3
148,159.76
147,153.602
146,158.42
145,204.724
144,172.276
143,179.94
142,150.802
141,147.66
140,147.766
139,144.806
138,193.51
137,147.902
136,141.728
135,177.998
134,161.386
133,152.914
132,138.368
131,135.056
130,156.426
129,145.95
128,136.938
127,150.552
126,135.792
125,174.262
124,149.866
123,169.37
122,137.074
121,148.83
120,172.034
119,172.45
118,180.23
117,144.552
116,136.812
115,125.252
114,122.032
113,153.56
112,139.754
111,122.75
110,127.94
109,138.114
108,174.364
107,169.34
106,132.842
105,135.1
104,123.088
103,115.166
102,118.842
101,109.61
100,110.49
99,107.476
98,106.62
97,113.008
96,125.08
95,99.92
94,99.004
93,99.17
92,112.978
91,108.734
90,102.196
89,104.842
88,105.022
87,100.63
86,117.652
85,110.722
84,108.314
83,115.234
82,137.99
81,102.016
80,115.85
79,100.844
78,150.26
77,109.88
76,141.012
75,160.056
74,158.594
73,105.608
72,147.39
71,86.252
70,87.452
69,93.396
68,94.838
67,100.878
66,101.926
65,80.49
64,83.928
63,93.588
62,93.604
61,88.538
60,87.248
59,81.63
58,79.588
57,86.358
56,103.24
55,76.914
54,79.37
53,80.584
52,119.612
51,87.222
50,81.704
49,87.748
48,95.168
47,62.672
46,61.13
45,97.212
44,79.158
43,83.098
42,115.52
41,101.918
40,100.84
39,62.216
38,65.696
37,69.25
36,75.198
35,72.174
34,66.68
33,72.45
32,51.142
31,48.31
30,47.454
29,42.152
28,56.304
27,62.148
26,43.07
25,97.612
24,49.82
23,44.022
22,46.77
21,45.638
20,32.842
19,31.736
18,29.668
17,41.714
16,28.7
15,24.976
14,21.05
13,21.556
12,27.912
11,15.752
10,14.304
9,19.17
8,10.542
7,10.086
6,30.8
5,15.96
4,11.398
3,16.414
2,6.534
1,7.386
0,3.376
149,204.814
148,198.27
147,142.16
146,142.392
145,126.428
144,138.134
143,146.796
142,146.868
141,145.1
140,163.116
139,148.914
138,139.614
137,143.7
136,146.686
135,139.014
134,127.392
133,127.3
132,137.27
131,134.918
130,125.228
129,122.164
128,122.808
127,128.15
126,119.23
125,118.222
124,111.994
123,121.554
122,122.354
121,128.522
120,127.504
119,125.036
118,125.842
117,111.72
116,113.14
115,119.058
114,126.786
113,153.04
112,118.67
111,123.412
110,118.49
109,117.228
108,107.612
107,113.68
106,112.29
105,105.99
104,102.18
103,113.282
102,108.586
101,111.402
100,102.408
99,107.122
98,110.18
97,93.406
96,97.704
95,109.548
94,108.612
93,104.638
92,101.13
91,93.56
90,110.842
89,122.426
88,99.664
87,93.002
86,83.332
85,79.86
84,82.458
83,86.06
82,87.666
81,83.342
80,83.554
79,98.826
78,92.394
77,87.32
76,107.482
75,99.38
74,142.686
73,91.414
72,116.15
71,83.552
70,78.044
69,77.584
68,73.12
67,70.188
66,70.078
65,72.104
64,77.966
63,70.574
62,72.184
61,86.904
60,83.162
59,71.162
58,65.16
57,123.636
56,120.886
55,77.866
54,61.694
53,64.42
52,57.826
51,48.73
50,49.108
49,47.454
48,47.176
